1000 5
1423.00 8102.00 2
4085.00 2237.00 0
4528.00 1557.00 0
1624.00 845.00 0
599.00 3601.00 4
1413.00 1910.00 0
716.00 242.00 0
1642.00 638.00 0
6367.00 2317.00 3
158.00 7395.00 2
111.00 3513.00 4
2090.00 6380.00 4
7080.00 4144.00 3
1958.00 4177.00 4
5517.00 6808.00 1
7282.00 7566.00 1
2407.00 7923.00 2
6070.00 9412.00 1
524.00 6180.00 4
7339.00 784.00 3
4659.00 2546.00 0
7852.00 432.00 3
7351.00 7937.00 1
8951.00 7619.00 1
5738.00 9615.00 1
9641.00 4817.00 1
300.00 6013.00 4
6377.00 7499.00 1
2188.00 4879.00 4
5731.00 932.00 3
5006.00 2566.00 3
4856.00 2096.00 3
334.00 2475.00 0
1443.00 6811.00 2
9636.00 6302.00 1
2575.00 206.00 0
8457.00 6257.00 1
760.00 5501.00 4
7865.00 8510.00 1
2272.00 6500.00 4
5656.00 8832.00 1
819.00 3828.00 4
3802.00 6801.00 2
1388.00 6297.00 4
6062.00 15.00 3
1577.00 398.00 0
8698.00 2100.00 3
3565.00 1874.00 0
5437.00 9590.00 1
6357.00 6396.00 1
4689.00 589.00 0
5293.00 1597.00 3
2960.00 5652.00 4
6307.00 2406.00 3
761.00 577.00 0
59.00 7194.00 2
8786.00 3864.00 3
837.00 5701.00 4
2992.00 2636.00 0
1501.00 1069.00 0
181.00 2919.00 0
7506.00 9095.00 1
8265.00 1277.00 3
9129.00 701.00 3
4508.00 300.00 0
1714.00 8751.00 2
3147.00 3895.00 4
7979.00 3527.00 3
5697.00 388.00 3
2643.00 2290.00 0
7488.00 641.00 3
8066.00 8460.00 1
3280.00 5646.00 4
3288.00 8635.00 2
4887.00 8167.00 2
5619.00 7887.00 1
7049.00 6769.00 1
9045.00 3864.00 3
1090.00 7.00 0
100.00 1224.00 0
5362.00 9909.00 1
3795.00 4154.00 4
7113.00 661.00 3
1490.00 5108.00 4
6915.00 3320.00 3
4370.00 4297.00 4
293.00 8632.00 2
2108.00 1298.00 0
1081.00 3851.00 4
3746.00 2222.00 0
6678.00 7626.00 1
3782.00 8903.00 2
2964.00 5171.00 4
2633.00 2312.00 0
894.00 8860.00 2
5095.00 3867.00 3
8536.00 2457.00 3
1937.00 5351.00 4
3331.00 7679.00 2
2282.00 5995.00 4
6191.00 7114.00 1
5303.00 8964.00 1
2673.00 2988.00 0
9137.00 8325.00 1
9621.00 6887.00 1
1469.00 4055.00 4
198.00 3133.00 0
6093.00 4046.00 3
2475.00 6006.00 4
3928.00 3439.00 4
7108.00 3522.00 3
1096.00 5135.00 4
6662.00 719.00 3
6387.00 942.00 3
8722.00 9629.00 1
4108.00 1924.00 0
5821.00 4864.00 3
8474.00 986.00 3
1692.00 1110.00 0
633.00 7164.00 2
8430.00 1898.00 3
7695.00 349.00 3
1918.00 4696.00 4
2722.00 9323.00 2
6697.00 8658.00 1
6105.00 3173.00 3
8269.00 4802.00 3
5152.00 9307.00 1
5091.00 6208.00 1
3840.00 293.00 0
2078.00 9079.00 2
9086.00 3639.00 3
4660.00 3939.00 4
3363.00 291.00 0
7357.00 7214.00 1
1980.00 1519.00 0
4217.00 7531.00 2
2882.00 7016.00 2
5719.00 9138.00 1
4972.00 1287.00 3
9460.00 5710.00 1
7716.00 9907.00 1
7552.00 323.00 3
7144.00 3976.00 3
2967.00 7476.00 2
2978.00 1398.00 0
2366.00 5412.00 4
6634.00 6269.00 1
9821.00 3211.00 3
8666.00 8199.00 1
4316.00 635.00 0
3090.00 5638.00 4
8561.00 1172.00 3
1165.00 6897.00 2
2889.00 6709.00 2
1443.00 9801.00 2
1156.00 6787.00 2
2065.00 7888.00 2
1078.00 6671.00 2
5318.00 2812.00 3
3227.00 739.00 0
1696.00 6408.00 4
7659.00 1437.00 3
70.00 4413.00 4
2207.00 7520.00 2
2295.00 5727.00 4
1859.00 1367.00 0
2243.00 7082.00 2
2988.00 1707.00 0
8664.00 5295.00 1
9355.00 4471.00 3
3568.00 5273.00 4
7666.00 7482.00 1
4440.00 2133.00 0
6839.00 8940.00 1
7988.00 33.00 3
4295.00 2021.00 0
4337.00 5476.00 4
1741.00 6778.00 2
4476.00 4287.00 4
3747.00 441.00 0
5842.00 8050.00 1
9447.00 6216.00 1
7783.00 1186.00 3
2818.00 3993.00 4
714.00 3370.00 4
2918.00 145.00 0
1145.00 1423.00 0
4198.00 2121.00 0
1041.00 6281.00 4
7466.00 1187.00 3
3529.00 4862.00 4
8386.00 545.00 3
4463.00 145.00 0
7499.00 8947.00 1
8835.00 7115.00 1
1856.00 9824.00 2
1187.00 2809.00 0
2883.00 2647.00 0
3654.00 4903.00 4
9932.00 4390.00 3
1869.00 3050.00 0
4321.00 3802.00 4
4039.00 5284.00 4
1447.00 6536.00 2
52.00 3668.00 4
2999.00 1516.00 0
1452.00 908.00 0
1509.00 7040.00 2
2081.00 3351.00 4
2461.00 576.00 0
6658.00 2970.00 3
7743.00 9483.00 1
2818.00 9035.00 2
6445.00 7708.00 1
9401.00 191.00 3
1698.00 762.00 0
7592.00 2120.00 3
3413.00 636.00 0
7714.00 1663.00 3
1133.00 5297.00 4
1641.00 1790.00 0
888.00 1455.00 0
8567.00 1250.00 3
2391.00 6506.00 4
9183.00 6031.00 1
4332.00 2184.00 0
9827.00 6932.00 1
6407.00 7507.00 1
8279.00 5456.00 1
749.00 9103.00 2
1862.00 9556.00 2
3739.00 9708.00 2
867.00 8059.00 2
2985.00 8189.00 2
7699.00 1449.00 3
6002.00 1706.00 3
9657.00 3376.00 3
450.00 6580.00 2
7281.00 6120.00 1
9089.00 9911.00 1
1441.00 511.00 0
5456.00 1109.00 3
3053.00 2927.00 0
3873.00 2416.00 0
491.00 7728.00 2
9356.00 4119.00 3
9014.00 4350.00 3
8239.00 6565.00 1
1126.00 3580.00 4
4934.00 9127.00 2
7888.00 8840.00 1
9820.00 6109.00 1
7162.00 9777.00 1
3952.00 1426.00 0
66.00 2455.00 0
7915.00 1423.00 3
2047.00 3282.00 4
5584.00 8109.00 1
6648.00 2661.00 3
1653.00 5306.00 4
5428.00 1204.00 3
2162.00 7933.00 2
6130.00 3700.00 3
8408.00 2637.00 3
1482.00 7250.00 2
1331.00 6768.00 2
9475.00 5814.00 1
147.00 6512.00 2
6438.00 2041.00 3
9992.00 9042.00 1
3298.00 8805.00 2
3436.00 553.00 0
9570.00 6061.00 1
6341.00 761.00 3
5452.00 1149.00 3
5050.00 4936.00 4
1676.00 8163.00 2
4774.00 8074.00 2
4080.00 7277.00 2
5707.00 9036.00 1
4261.00 2869.00 0
1658.00 1248.00 0
2018.00 427.00 0
32.00 7963.00 2
6211.00 913.00 3
114.00 1436.00 0
2345.00 4269.00 4
4012.00 8943.00 2
96.00 1962.00 0
9526.00 4528.00 3
977.00 9488.00 2
393.00 9875.00 2
8105.00 9509.00 1
1905.00 9955.00 2
6570.00 3604.00 3
2627.00 7306.00 2
9312.00 5629.00 1
7264.00 3361.00 3
7911.00 1277.00 3
9082.00 4248.00 3
7195.00 1296.00 3
503.00 7432.00 2
6479.00 8484.00 1
9028.00 807.00 3
6162.00 1024.00 3
8812.00 2764.00 3
6495.00 1012.00 3
569.00 6355.00 4
7269.00 6915.00 1
1210.00 5811.00 4
135.00 6206.00 4
2678.00 3262.00 4
1859.00 5955.00 4
4143.00 3481.00 4
2376.00 7510.00 2
5162.00 654.00 3
9316.00 558.00 3
4751.00 974.00 0
5036.00 1636.00 3
8892.00 3562.00 3
2289.00 5751.00 4
5279.00 1171.00 3
6415.00 6212.00 1
8419.00 3184.00 3
934.00 7908.00 2
2218.00 4065.00 4
9678.00 7461.00 1
396.00 1458.00 0
7415.00 126.00 3
1231.00 9874.00 2
7935.00 4349.00 3
4392.00 8436.00 2
3416.00 1924.00 0
8321.00 3893.00 3
185.00 5524.00 4
2267.00 8896.00 2
1139.00 7272.00 2
182.00 5038.00 4
2439.00 2277.00 0
6110.00 2370.00 3
86.00 2480.00 0
6328.00 2724.00 3
7401.00 1985.00 3
4110.00 2412.00 0
9634.00 2422.00 3
6567.00 5922.00 1
3779.00 4795.00 4
2219.00 355.00 0
5086.00 9385.00 1
1317.00 374.00 0
9692.00 1420.00 3
1610.00 1696.00 0
2898.00 4714.00 4
6649.00 3077.00 3
7408.00 8017.00 1
1299.00 4656.00 4
9388.00 7551.00 1
7885.00 6613.00 1
1103.00 1544.00 0
404.00 917.00 0
9694.00 8516.00 1
8368.00 7362.00 1
860.00 7927.00 2
4044.00 5139.00 4
1901.00 5557.00 4
9557.00 9722.00 1
1390.00 9445.00 2
7632.00 1123.00 3
6964.00 3061.00 3
2449.00 3584.00 4
8691.00 2783.00 3
8202.00 2292.00 3
8256.00 6970.00 1
3105.00 9516.00 2
1416.00 1844.00 0
4117.00 3269.00 4
6914.00 1007.00 3
9490.00 5049.00 1
5730.00 3369.00 3
4594.00 1324.00 0
6815.00 2753.00 3
5191.00 3590.00 3
8712.00 262.00 3
4838.00 610.00 0
3651.00 2530.00 0
5526.00 2743.00 3
4790.00 6471.00 4
9290.00 9028.00 1
2554.00 1513.00 0
5611.00 2033.00 3
4572.00 8508.00 2
6650.00 1731.00 3
901.00 2191.00 0
4660.00 7729.00 2
6077.00 4058.00 3
6854.00 5109.00 1
5835.00 7443.00 1
547.00 4293.00 4
688.00 615.00 0
5988.00 1251.00 3
8022.00 264.00 3
5695.00 3553.00 3
1507.00 2290.00 0
5292.00 1817.00 3
7362.00 8882.00 1
6436.00 4348.00 3
9635.00 9401.00 1
4890.00 4537.00 4
2177.00 1293.00 0
4318.00 3728.00 4
4117.00 704.00 0
2064.00 9736.00 2
5881.00 1334.00 3
9826.00 3726.00 3
880.00 5025.00 4
401.00 1182.00 0
1588.00 4799.00 4
181.00 2439.00 0
3008.00 3991.00 4
727.00 7419.00 2
1440.00 943.00 0
8483.00 5604.00 1
5733.00 2929.00 3
5054.00 9725.00 2
477.00 4464.00 4
5241.00 2031.00 3
7666.00 2870.00 3
5255.00 7179.00 1
321.00 4751.00 4
171.00 1672.00 0
2287.00 1323.00 0
118.00 45.00 0
2311.00 4367.00 4
848.00 8177.00 2
6295.00 1406.00 3
3908.00 257.00 0
8300.00 7559.00 1
2065.00 3458.00 4
362.00 6351.00 4
3309.00 5768.00 4
1985.00 2016.00 0
4381.00 1206.00 0
140.00 7889.00 2
5251.00 5383.00 4
43.00 488.00 0
7832.00 7500.00 1
1364.00 7885.00 2
3738.00 6214.00 4
7366.00 9665.00 1
2503.00 4663.00 4
8430.00 2144.00 3
8634.00 7332.00 1
5134.00 1682.00 3
7669.00 4526.00 3
3850.00 4696.00 4
2384.00 2642.00 0
404.00 6725.00 2
3329.00 4941.00 4
7787.00 6411.00 1
6365.00 9331.00 1
1312.00 5496.00 4
9230.00 1234.00 3
6777.00 1936.00 3
8118.00 1267.00 3
8681.00 2781.00 3
3522.00 5377.00 4
9311.00 7123.00 1
9730.00 6077.00 1
1118.00 1497.00 0
7656.00 9472.00 1
3822.00 6310.00 4
1567.00 7362.00 2
7584.00 2760.00 3
3854.00 4812.00 4
9688.00 9627.00 1
3933.00 1673.00 0
678.00 3655.00 4
2663.00 2482.00 0
8949.00 171.00 3
3905.00 6586.00 4
6328.00 2729.00 3
762.00 4454.00 4
9969.00 3346.00 3
8579.00 5426.00 1
1876.00 9347.00 2
6257.00 9616.00 1
6268.00 2848.00 3
7329.00 7378.00 1
124.00 6752.00 2
4059.00 4746.00 4
7753.00 4809.00 3
9850.00 399.00 3
5606.00 1310.00 3
2139.00 1507.00 0
6672.00 9206.00 1
4.00 3988.00 4
7899.00 8223.00 1
7415.00 1152.00 3
5964.00 2818.00 3
2055.00 5820.00 4
9481.00 41.00 3
3417.00 8629.00 2
2781.00 6510.00 4
1007.00 1640.00 0
8305.00 9494.00 1
529.00 3792.00 4
9495.00 7006.00 1
1501.00 8399.00 2
5545.00 3428.00 3
2465.00 8159.00 2
6034.00 9593.00 1
6342.00 2328.00 3
1898.00 4902.00 4
9616.00 1541.00 3
1224.00 9165.00 2
8051.00 6434.00 1
755.00 9777.00 2
952.00 5305.00 4
5018.00 2809.00 3
3888.00 3373.00 4
4389.00 8705.00 2
3416.00 6118.00 4
2491.00 7345.00 2
61.00 8367.00 2
9157.00 209.00 3
6930.00 172.00 3
7027.00 6269.00 1
3872.00 896.00 0
1581.00 5334.00 4
5374.00 7886.00 1
2509.00 8250.00 2
1025.00 5182.00 4
3435.00 4453.00 4
9781.00 3554.00 3
233.00 568.00 0
6589.00 4537.00 3
9857.00 1801.00 3
1351.00 1012.00 0
9915.00 7498.00 1
4963.00 8968.00 2
1555.00 3246.00 0
7926.00 4867.00 3
4171.00 1945.00 0
106.00 1554.00 0
3885.00 9016.00 2
104.00 6498.00 2
9411.00 4786.00 3
3689.00 4246.00 4
10.00 6893.00 2
6537.00 2409.00 3
2980.00 6387.00 4
7981.00 292.00 3
9869.00 3126.00 3
3767.00 7346.00 2
7777.00 9682.00 1
9431.00 7601.00 1
4300.00 6594.00 4
8020.00 2988.00 3
7586.00 2646.00 3
2507.00 6599.00 4
4960.00 2371.00 3
1095.00 4347.00 4
4354.00 1259.00 0
4242.00 6243.00 4
6647.00 4079.00 3
9723.00 3253.00 3
8946.00 179.00 3
5193.00 2837.00 3
1570.00 1185.00 0
1343.00 183.00 0
7684.00 9424.00 1
7712.00 404.00 3
935.00 5701.00 4
1652.00 9326.00 2
2992.00 4939.00 4
636.00 9831.00 2
5711.00 8752.00 1
1347.00 751.00 0
2594.00 9008.00 2
7445.00 3597.00 3
1497.00 5461.00 4
2484.00 5360.00 4
3882.00 703.00 0
6377.00 342.00 3
1318.00 1409.00 0
3864.00 5868.00 4
1307.00 8332.00 2
2311.00 551.00 0
4219.00 5712.00 4
6208.00 2099.00 3
8941.00 1472.00 3
6772.00 6554.00 1
5187.00 1205.00 3
7427.00 2919.00 3
7756.00 1606.00 3
9082.00 4699.00 3
6394.00 7415.00 1
8140.00 7584.00 1
9142.00 1727.00 3
6244.00 2477.00 3
1923.00 1694.00 0
2985.00 4169.00 4
8688.00 255.00 3
6755.00 8883.00 1
594.00 4234.00 4
2637.00 1873.00 0
4050.00 9901.00 2
9756.00 8039.00 1
7186.00 4172.00 3
1615.00 411.00 0
7990.00 4247.00 3
3192.00 1143.00 0
689.00 4939.00 4
9114.00 2207.00 3
3373.00 3099.00 0
4994.00 7651.00 1
5407.00 4097.00 3
539.00 7206.00 2
4394.00 6191.00 4
1133.00 8816.00 2
1251.00 4731.00 4
3141.00 1569.00 0
8069.00 9499.00 1
3915.00 7064.00 2
4726.00 7325.00 2
8064.00 5139.00 1
5353.00 2666.00 3
7607.00 7095.00 1
1878.00 3803.00 4
774.00 5555.00 4
6359.00 2444.00 3
6620.00 3008.00 3
244.00 7601.00 2
8533.00 9451.00 1
4129.00 3847.00 4
8252.00 4198.00 3
1062.00 1436.00 0
720.00 9227.00 2
2511.00 1777.00 0
138.00 675.00 0
4501.00 1726.00 0
8334.00 6903.00 1
6430.00 4839.00 3
8416.00 4388.00 3
2208.00 2862.00 0
361.00 148.00 0
7948.00 697.00 3
3370.00 7195.00 2
9656.00 5350.00 1
8080.00 6031.00 1
6429.00 2540.00 3
7481.00 380.00 3
1347.00 1668.00 0
9622.00 775.00 3
2793.00 7095.00 2
4801.00 9121.00 2
7961.00 5369.00 1
5856.00 7854.00 1
8939.00 5895.00 1
2731.00 1894.00 0
7609.00 1741.00 3
2523.00 9788.00 2
820.00 7643.00 2
8515.00 7598.00 1
5013.00 5721.00 4
7700.00 1660.00 3
9894.00 2136.00 3
6443.00 6988.00 1
8178.00 747.00 3
4894.00 1724.00 3
4393.00 9126.00 2
839.00 6922.00 2
7465.00 8709.00 1
7007.00 801.00 3
5130.00 3201.00 3
4223.00 4453.00 4
8760.00 5919.00 1
6547.00 7233.00 1
487.00 8073.00 2
1888.00 3103.00 0
5202.00 2944.00 3
3320.00 3400.00 4
1492.00 274.00 0
6555.00 6844.00 1
1307.00 5385.00 4
7296.00 8244.00 1
5625.00 6549.00 1
9445.00 1797.00 3
125.00 3595.00 4
7267.00 5368.00 1
8386.00 205.00 3
6517.00 8409.00 1
22.00 3340.00 0
9130.00 6525.00 1
829.00 91.00 0
6041.00 8567.00 1
5559.00 2022.00 3
8277.00 1740.00 3
2719.00 6211.00 4
7489.00 9813.00 1
5238.00 4759.00 4
2229.00 6085.00 4
7632.00 9660.00 1
66.00 1276.00 0
9501.00 4338.00 3
2291.00 9067.00 2
2154.00 900.00 0
5332.00 8841.00 1
4969.00 8876.00 2
4375.00 7894.00 2
254.00 5113.00 4
85.00 3118.00 0
5100.00 1040.00 3
5010.00 3983.00 4
8976.00 1441.00 3
9940.00 6191.00 1
2619.00 9436.00 2
6965.00 8888.00 1
4390.00 996.00 0
8711.00 549.00 3
8369.00 3874.00 3
2375.00 4530.00 4
2716.00 9821.00 2
1877.00 9566.00 2
6394.00 4328.00 3
5491.00 1156.00 3
1075.00 7868.00 2
4156.00 9083.00 2
7593.00 8856.00 1
1672.00 5323.00 4
2957.00 3542.00 4
8397.00 3313.00 3
850.00 9681.00 2
1719.00 2645.00 0
5474.00 1940.00 3
6875.00 7385.00 1
3185.00 3139.00 0
2456.00 2276.00 0
1951.00 352.00 0
8384.00 8672.00 1
6305.00 8423.00 1
1398.00 5713.00 4
7362.00 859.00 3
3879.00 5832.00 4
486.00 181.00 0
8286.00 3302.00 3
2959.00 3402.00 4
2835.00 4485.00 4
9316.00 2684.00 3
3044.00 1235.00 0
3294.00 1652.00 0
2615.00 7216.00 2
5157.00 4462.00 4
4878.00 9643.00 2
4571.00 8117.00 2
8108.00 215.00 3
